208.76.44.40,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:24.383-0700', 'current_time_unix': 1635053964.383, 'is_dst': True, 'dst_savings': 1}"
208.76.44.41,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:24.492-0700', 'current_time_unix': 1635053964.492, 'is_dst': True, 'dst_savings': 1}"
208.76.44.42,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:24.612-0700', 'current_time_unix': 1635053964.612, 'is_dst': True, 'dst_savings': 1}"
208.76.44.43,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:24.718-0700', 'current_time_unix': 1635053964.718, 'is_dst': True, 'dst_savings': 1}"
208.76.44.44,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:24.809-0700', 'current_time_unix': 1635053964.809, 'is_dst': True, 'dst_savings': 1}"
208.76.44.45,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:24.917-0700', 'current_time_unix': 1635053964.917, 'is_dst': True, 'dst_savings': 1}"
208.76.44.46,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:25.021-0700', 'current_time_unix': 1635053965.021, 'is_dst': True, 'dst_savings': 1}"
208.76.44.47,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:25.147-0700', 'current_time_unix': 1635053965.147, 'is_dst': True, 'dst_savings': 1}"
208.76.44.48,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:25.256-0700', 'current_time_unix': 1635053965.256, 'is_dst': True, 'dst_savings': 1}"
208.76.44.49,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:25.358-0700', 'current_time_unix': 1635053965.358, 'is_dst': True, 'dst_savings': 1}"
208.76.44.50,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:25.469-0700', 'current_time_unix': 1635053965.469, 'is_dst': True, 'dst_savings': 1}"
208.76.44.51,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:25.592-0700', 'current_time_unix': 1635053965.592, 'is_dst': True, 'dst_savings': 1}"
208.76.44.52,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:25.692-0700', 'current_time_unix': 1635053965.692, 'is_dst': True, 'dst_savings': 1}"
208.76.44.53,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:25.797-0700', 'current_time_unix': 1635053965.797, 'is_dst': True, 'dst_savings': 1}"
